mission,T_traj_s,track_rms_x_cm,track_rms_y_cm,track_rms_z_cm,track_rms_3d_cm,track_max_3d_cm,endpoint_err_cm,overshoot_cm,z_sag_cm,z_dev_max_cm,hover_drift_cm,pitch_rms_fly_deg,roll_rms_fly_deg,pitch_peak_deg,roll_peak_deg,att_tail_rms_deg,yaw_rms_fly_deg,prop_w_mean_rad_s,prop_w_max_rad_s,pass_track,pass_overshoot,pass_zdev,pass_drift
step,3.630,1.849,0.082,2.206,2.880,5.774,0.250,3.000,5.774,0.327,1.192,2.512,0.007,4.856,0.017,0.056,0.014,624.895,824.448,True,True,True,True
jitter_a,3.980,2.678,0.090,2.114,3.413,5.774,0.232,4.018,5.774,0.330,2.143,3.519,0.006,6.171,0.016,0.085,0.019,625.248,823.863,True,True,True,True
jitter_b,4.550,2.392,0.093,2.065,3.162,5.774,0.213,3.277,5.774,0.329,1.138,3.096,0.005,5.799,0.017,0.053,0.013,625.525,824.524,True,True,True,True
fly_through,9.820,1.579,1.481,1.651,2.723,5.768,0.097,3.089,5.768,1.096,1.146,2.359,1.456,5.622,3.611,0.058,14.687,626.994,825.981,True,True,True,True
look_at,9.070,1.137,2.319,1.425,2.950,4.993,0.120,2.213,4.993,0.445,0.693,2.936,1.342,5.615,3.751,0.048,13.590,628.524,827.424,True,True,True,True
scan,12.330,0.617,0.220,1.378,1.526,4.992,0.081,0.235,4.992,0.173,0.245,0.368,0.436,0.822,0.955,0.003,67.857,628.180,827.336,True,True,True,True
stop_batch,34.910,1.423,1.420,0.492,2.070,5.235,0.033,0.077,0.382,1.104,0.040,2.474,0.400,6.752,1.907,0.002,15.216,629.989,661.931,True,True,True,True
