epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,192.36,0.40523,0.48652,0.05969,0.37488,0.86005,0.97773,0.91272,0.96025,0.91928,0.9305,0.9181,0.92934,0.88498,0.31019,0.46789,0.00391,0.31448,0.81995,0.0014852,0.0014852,0.0014852
28,198.925,0.4017,0.46987,0.05832,0.37179,0.85715,0.96984,0.92768,0.95918,0.91117,0.95714,0.89107,0.92053,0.89122,0.32124,0.49128,0.00504,0.30463,0.81948,0.0014654,0.0014654,0.0014654
29,205.547,0.38685,0.44307,0.05831,0.36666,0.85336,0.95463,0.91816,0.94881,0.90163,0.94112,0.90898,0.92539,0.89142,0.32403,0.43217,0.00495,0.32734,0.82507,0.0014456,0.0014456,0.0014456
30,212.147,0.39387,0.46529,0.05491,0.36589,0.85678,0.95812,0.91273,0.94939,0.90599,0.93706,0.89401,0.9195,0.88921,0.32633,0.47433,0.00373,0.34761,0.82259,0.0014258,0.0014258,0.0014258
31,218.751,0.38055,0.44338,0.05296,0.35869,0.8529,0.98575,0.91771,0.95563,0.91939,0.96365,0.9015,0.91991,0.89393,0.31152,0.45613,0.00336,0.31688,0.81855,0.001406,0.001406,0.001406
32,225.353,0.39115,0.45797,0.05762,0.36813,0.85776,0.97149,0.92145,0.96017,0.91375,0.95283,0.90671,0.93289,0.90045,0.32202,0.41554,0.0063,0.32025,0.82105,0.0013862,0.0013862,0.0013862
33,231.989,0.38659,0.46232,0.04994,0.36146,0.85609,0.96333,0.92394,0.96084,0.91597,0.95331,0.89115,0.93279,0.90247,0.31581,0.43076,0.00261,0.3038,0.82381,0.0013664,0.0013664,0.0013664
34,238.606,0.37947,0.42741,0.05182,0.35352,0.85287,0.9804,0.91397,0.95989,0.91368,0.95961,0.89277,0.92304,0.89723,0.31992,0.42873,0.00342,0.32203,0.81797,0.0013466,0.0013466,0.0013466
35,245.193,0.38265,0.44967,0.04923,0.35503,0.85551,0.96701,0.93017,0.95869,0.91755,0.9458,0.91379,0.92932,0.8964,0.30628,0.45536,0.00251,0.29543,0.81851,0.0013268,0.0013268,0.0013268
36,251.766,0.37736,0.42136,0.05226,0.35683,0.8505,0.96755,0.92938,0.96079,0.9173,0.95378,0.92635,0.94452,0.9173,0.29287,0.35237,0.00329,0.29669,0.81266,0.001307,0.001307,0.001307
37,258.376,0.38215,0.4309,0.05293,0.3582,0.85347,0.98662,0.9197,0.95941,0.92289,0.94361,0.93017,0.93818,0.91135,0.28014,0.39794,0.0042,0.28613,0.8103,0.0012872,0.0012872,0.0012872
38,264.962,0.37061,0.41733,0.05045,0.34675,0.85159,0.96903,0.93642,0.96233,0.92584,0.94821,0.92768,0.93623,0.9074,0.28604,0.40372,0.00386,0.28313,0.81639,0.0012674,0.0012674,0.0012674
39,271.534,0.3647,0.40397,0.04649,0.34166,0.84548,0.97106,0.93641,0.95727,0.92158,0.94733,0.92394,0.93179,0.90731,0.28743,0.3952,0.00471,0.28444,0.81438,0.0012476,0.0012476,0.0012476
40,278.111,0.35702,0.40422,0.04735,0.3366,0.847,0.9823,0.92519,0.95947,0.91996,0.96077,0.916,0.93956,0.91146,0.29095,0.39488,0.00317,0.28267,0.81642,0.0012278,0.0012278,0.0012278
41,284.663,0.37723,0.4277,0.04819,0.35215,0.85283,0.96419,0.94002,0.96038,0.92091,0.93133,0.91318,0.92076,0.88863,0.28683,0.43255,0.00336,0.28895,0.81143,0.001208,0.001208,0.001208
42,291.246,0.36336,0.40924,0.0469,0.33629,0.84912,0.97126,0.92703,0.95809,0.91669,0.95527,0.91272,0.93762,0.90721,0.30637,0.42748,0.00352,0.28766,0.81814,0.0011882,0.0011882,0.0011882
43,297.88,0.37079,0.40825,0.04694,0.34085,0.85183,0.97758,0.92441,0.96136,0.92272,0.96071,0.91477,0.94127,0.91418,0.28438,0.364,0.00299,0.27413,0.81401,0.0011684,0.0011684,0.0011684
44,304.494,0.35936,0.38675,0.04426,0.33744,0.8486,0.96897,0.9414,0.96174,0.9193,0.95744,0.93392,0.94189,0.91177,0.30425,0.37105,0.0025,0.2777,0.81385,0.0011486,0.0011486,0.0011486
45,311.071,0.35579,0.38756,0.04625,0.33343,0.84414,0.95515,0.9294,0.95754,0.92101,0.93959,0.91771,0.92907,0.90313,0.28031,0.42619,0.00349,0.28788,0.81047,0.0011288,0.0011288,0.0011288
46,317.678,0.35117,0.36583,0.04297,0.32851,0.84689,0.96272,0.91895,0.95662,0.92027,0.93616,0.91022,0.93287,0.90911,0.2892,0.40772,0.00327,0.29336,0.81047,0.001109,0.001109,0.001109
47,324.223,0.34906,0.3812,0.04501,0.32939,0.84528,0.96714,0.9389,0.96204,0.92297,0.95686,0.92893,0.94538,0.92041,0.28479,0.41754,0.00249,0.28166,0.81347,0.0010892,0.0010892,0.0010892
48,330.826,0.34238,0.39754,0.04451,0.32078,0.84216,0.96648,0.93464,0.96249,0.92343,0.95495,0.92504,0.94211,0.92091,0.26809,0.37311,0.00263,0.27528,0.80871,0.0010694,0.0010694,0.0010694
49,337.463,0.34754,0.37516,0.04236,0.32399,0.84497,0.96779,0.93659,0.96357,0.92383,0.95105,0.92049,0.93221,0.91122,0.26713,0.36327,0.00304,0.25771,0.80836,0.0010496,0.0010496,0.0010496
50,344.037,0.35194,0.36352,0.04163,0.32852,0.84754,0.97779,0.93318,0.96194,0.9248,0.95617,0.92487,0.93985,0.91681,0.27542,0.39652,0.00273,0.26312,0.81022,0.0010298,0.0010298,0.0010298
51,350.635,0.34897,0.34763,0.04252,0.3273,0.84323,0.98193,0.93516,0.96408,0.92511,0.96809,0.92519,0.94678,0.9204,0.28249,0.36472,0.00313,0.26214,0.81548,0.00101,0.00101,0.00101
52,357.263,0.35029,0.37408,0.04347,0.32644,0.84464,0.98018,0.94264,0.96418,0.92695,0.96307,0.92643,0.94486,0.90968,0.2679,0.37291,0.00208,0.25386,0.81208,0.0009902,0.0009902,0.0009902
53,363.873,0.34185,0.34993,0.04006,0.31629,0.84205,0.9754,0.93936,0.96088,0.92376,0.96434,0.93142,0.94471,0.9186,0.28791,0.3474,0.00263,0.26468,0.80996,0.0009704,0.0009704,0.0009704
54,370.428,0.34494,0.36298,0.04425,0.3226,0.84087,0.98487,0.92519,0.96063,0.9243,0.97518,0.91646,0.94929,0.92311,0.27183,0.35534,0.00367,0.26289,0.81217,0.0009506,0.0009506,0.0009506
55,377.084,0.33627,0.33191,0.04191,0.31583,0.83992,0.97667,0.9389,0.96483,0.92798,0.96632,0.92768,0.94779,0.92113,0.27039,0.36818,0.00272,0.25288,0.81169,0.0009308,0.0009308,0.0009308
56,383.687,0.33349,0.34557,0.0423,0.31183,0.84115,0.97554,0.9449,0.96381,0.92407,0.9653,0.93766,0.94721,0.92092,0.27109,0.34667,0.00354,0.24821,0.81379,0.000911,0.000911,0.000911
