kp,kd,ki,tracking_rms_cm,overshoot_cm,tail_rms_deg,hover_cm,peak_pitch_deg
19,7.6,0.04,1.71219987340145,2.99507269251071,6.28563250396138,0.0123866825077078,14.7016726610056
22,8.8,0.04,1.47926919317465,2.52968217209109,6.3733759491693,0.0308764630586046,15.4237167823106
26,10.4,0.04,1.30446792880012,2.29309417305963,6.62118914986832,0.0467810458973061,15.9409060983504
30,12,0.04,1.16878908010543,1.99776198037704,6.45536091024208,0.0277217709858646,15.8921024410098
