step_m,is_agile,t_ref99_s,rise_s,settle2pct_s,overshoot_pct,sse_mm,z_peak_cm,settle2cm_s
0.1,0,2.48,0.586,NaN,31.4645678365683,-6.80323255378461,0.214726945049049,10.966
1,0,4.83,0.886,13.016,4.85035824729352,-8.12651669346531,0.214726945049049,13.016
0.1,1,2.48,0.568,NaN,29.8340379632168,-7.63541098586679,2.00437944553655,10.81
1,1,4.83,0.95,12.928,0.266619646693278,-8.02988930182713,2.00437944553655,12.928
