kp,kd,ki,tracking_rms_cm,overshoot_cm,tail_rms_deg,hover_cm,peak_pitch_deg
11,4.4,0.04,2.94831677316213,5.46128395151357,5.20882042628403,0.0623258648479254,13.3031452868261
13,5.2,0.04,2.48833136596288,4.58198830091692,5.57799285522787,0.0564212759592886,13.5403445997342
15,6,0.04,2.16748565605853,3.95360821606401,5.87404749349851,0.0418623281682371,13.5527732048194
17,6.8,0.04,1.90248796341322,3.43694048529779,6.11312405777081,0.0248412614606545,13.7415272137637
19,7.6,0.04,1.71219987340145,2.99507269251071,6.28563250396138,0.0123866825077078,14.7016726610056
