t,x_ref,x_meas,pitch_deg
14.732,5.99916165898626,5.99835618135904,1.20675076237127
14.734,5.99919165898626,5.99836260890369,1.19105680219084
14.736,5.99922165898626,5.99836944823732,1.1741002259387
14.738,5.99925165898626,5.99837676439914,1.15543335889872
14.74,5.99928165898626,5.99838439620758,1.1354207236708
14.742,5.99931165898626,5.99839232031282,1.11401728815922
14.744,5.99934165898626,5.99840051413559,1.09118154967866
14.746,5.99937165898626,5.99840901507181,1.066458971774
14.748,5.99940165898626,5.99841776041818,1.04005362333715
14.75,5.99943165898626,5.99842671416636,1.01218299889173
14.752,5.99946165898626,5.99843587425921,0.982884553961659
14.754,5.99949165898626,5.99844526190272,0.952094313518384
14.756,5.99952165898626,5.99845494750493,0.919691187048028
14.758,5.99955165898626,5.9984648878161,0.886235320748738
14.76,5.99958165898627,5.99847510663549,0.851859439330409
14.762,5.99961165898627,5.9984856294186,0.816702426533852
14.764,5.99964165898627,5.99849660865409,0.780825676117462
14.766,5.99967165898627,5.99850802648521,0.744642271086385
14.768,5.99970165898627,5.99851987964864,0.708362604938099
14.77,5.99973165898627,5.99853219682209,0.672139716094816
14.772,5.99976065898627,5.99854507236355,0.63618119852528
14.774,5.99978965898627,5.99855863147097,0.600802916505204
14.776,5.99981865898627,5.99857274481596,0.566030611952845
14.778,5.99984765898627,5.99858742019098,0.531945326277674
14.78,5.99987665898627,5.9986026627203,0.49861876675893
14.782,5.99990365898627,5.9986186618173,0.466405731782766
14.784,5.99993065898627,5.99863523846823,0.435096904619513
14.786,5.99995765898627,5.9986523372449,0.404622389624674
14.788,5.99998465898627,5.998669935719,0.374956328149775
14.79,6.00001165898627,5.99868807373212,0.34616658449478
14.792,6.00003565898627,5.99870672553233,0.318191753204549
14.794,6.00005965898627,5.99872573600187,0.290757413609495
14.796,6.00008365898627,5.99874506577729,0.263776317334249
14.798,6.00010765898627,5.99876467460072,0.237157888517034
14.8,6.00013165898627,5.99878457394107,0.210822628226771
14.802,6.00015165898627,5.99880461847803,0.184532937400609
14.804,6.00017165898627,5.99882476269077,0.158193758937598
14.806,6.00019165898627,5.99884496835471,0.131719970958047
14.808,6.00021165898627,5.99886519049674,0.104963631050621
14.81,6.00023165898627,5.9988853652518,0.0777927539881478
14.812,6.00024665898627,5.9989054657764,0.0502228985903603
14.814,6.00026165898627,5.99892547013358,0.0222251825702598
14.816,6.00027665898627,5.99894535760297,-0.00622488144013694
14.818,6.00029165898627,5.99896504749324,-0.0353135721543418
14.82,6.00030665898627,5.99898458026739,-0.0648337022678488
14.822,6.00031565898627,5.99900395007694,-0.094757320841673
14.824,6.00032465898627,5.99902315192145,-0.125053381462565
