t,x_ref,x_meas,pitch_deg
6.68,0.979469999999933,0.98154009507962,0.524961627312315
6.682,0.979435999999933,0.981516811754978,0.425882411131397
6.684,0.979401999999933,0.981492246184581,0.32108733232742
6.686,0.979367999999933,0.981466348503982,0.211143099271301
6.688,0.979333999999933,0.981438968046435,0.0962522106826625
6.69,0.979299999999933,0.981410224809665,-0.022524982827765
6.692,0.979266999999933,0.981380123247672,-0.144595047684625
6.694,0.979233999999933,0.981348673853138,-0.269179567361257
6.696,0.979200999999933,0.981316132376987,-0.395012779937827
6.698,0.979167999999933,0.981282682307273,-0.521026994540833
6.7,0.979134999999933,0.981248523929395,-0.646042547519041
6.702,0.979103999999933,0.981213930039464,-0.768881842377812
6.704,0.979072999999933,0.981179162306176,-0.888488021390963
6.706,0.979041999999933,0.981144468921946,-1.00395405078967
6.708,0.979010999999933,0.981110130777913,-1.11396702055867
6.71,0.978979999999933,0.981076387923926,-1.21783450638764
6.712,0.978951999999933,0.981043504003681,-1.31450697541039
6.714,0.978923999999933,0.981011619503878,-1.40382334478178
6.716,0.978895999999933,0.98098099272413,-1.48471308884736
6.718,0.978867999999933,0.980951782952251,-1.55684018281559
6.72,0.978839999999933,0.980924024157175,-1.62053708404348
6.722,0.978815999999933,0.980897818222161,-1.67564562788627
6.724,0.978791999999933,0.980873267669583,-1.72198129999832
6.726,0.978767999999933,0.980850323020907,-1.76010637821635
6.728,0.978743999999933,0.98082896070681,-1.79037283031072
6.73,0.978719999999933,0.980809107704476,-1.8133342780551
6.732,0.978700999999933,0.980790709834153,-1.82941603316891
6.734,0.978681999999933,0.980773754218204,-1.83882569015218
6.736,0.978662999999933,0.980758178197589,-1.84196140169556
6.738,0.978643999999933,0.980743846144265,-1.83948251419158
6.74,0.978624999999933,0.980730784254032,-1.83125311911956
6.742,0.978611999999933,0.980718830194436,-1.81790821412245
6.744,0.978598999999932,0.980707857712161,-1.79987020831914
6.746,0.978585999999932,0.980697817054549,-1.77713552812096
6.748,0.978572999999932,0.980688568713734,-1.75008942237332
6.75,0.978559999999932,0.980680029014492,-1.71884272922051
6.752,0.978553999999932,0.980672116696554,-1.68346276468279
6.754,0.978547999999932,0.980664729822185,-1.64414191047356
6.756,0.978541999999932,0.980657799968374,-1.60077916880993
6.758,0.978535999999932,0.980651228830282,-1.55350136213343
6.76,0.978529999999932,0.980644934454695,-1.50232630923494
6.762,0.978531999999932,0.980638853197731,-1.44711528996463
6.764,0.978533999999932,0.980632927085627,-1.3880929570105
6.766,0.978535999999932,0.980627155593165,-1.32472423589645
6.768,0.978537999999932,0.980621555662069,-1.2567576400513
6.77,0.978539999999932,0.980616147633383,-1.18438062381911
6.772,0.978548999999932,0.98061101693594,-1.10668081281641
6.774,0.978557999999932,0.980606247940942,-1.02325478545596
6.776,0.978566999999932,0.980601910420734,-0.934079131366982
6.778,0.978575999999932,0.980598126718155,-0.838660288104965
6.78,0.978584999999932,0.980595066508497,-0.736391190438161
6.782,0.978599999999932,0.980592955643614,-0.626563521670919
6.784,0.978614999999932,0.980591916849404,-0.509392490415074
6.786,0.978629999999932,0.980592226577903,-0.384058588640366
6.788,0.978644999999932,0.980594114386019,-0.250280090992927
6.79,0.978659999999932,0.980597721155636,-0.108265403745617
6.792,0.978679999999932,0.980603134001451,0.041582026293097
6.794,0.978699999999932,0.980610535854709,0.199207784100658
6.796,0.978719999999932,0.980619810629939,0.363397553038702
6.798,0.978739999999932,0.980631044683803,0.533665290675848
6.8,0.978759999999932,0.980644119598675,0.708755769852394
6.802,0.978783999999932,0.980658775424751,0.887187887247989
6.804,0.978807999999932,0.980674931206342,1.06777027391364
6.806,0.978831999999932,0.980692232368372,1.24889767521041
6.808,0.978855999999932,0.98071044545915,1.42911749939607
6.81,0.978879999999932,0.98072930532441,1.60667159843163
6.812,0.978906999999932,0.98074847492441,1.78072905294215
6.814,0.978933999999932,0.980767755651701,1.94950835641177
6.816,0.978960999999932,0.980786902986149,2.11200005949316
6.818,0.978987999999932,0.980805719638205,2.26727667793422
6.82,0.979014999999932,0.980824034512352,2.41452232533695
6.822,0.979043999999932,0.98084169384483,2.55310231702171
6.824,0.979072999999932,0.980858487911515,2.68176187522224
6.826,0.979101999999932,0.980874342718223,2.80073320231381
6.828,0.979130999999932,0.980888972363206,2.90803694991228
6.83,0.979159999999932,0.980902367400859,3.00427967987892
6.832,0.979189999999932,0.980914335885235,3.08823384859826
6.834,0.979219999999932,0.980924841624339,3.15988703870169
6.836,0.979249999999932,0.980933894514865,3.21936523718123
6.838,0.979279999999931,0.980941528827046,3.26676169669671
6.84,0.979309999999931,0.980947870796396,3.30268429230089
6.842,0.979339999999931,0.980953064349167,3.32756265268446
6.844,0.979369999999931,0.98095735826654,3.34234684344369
6.846,0.979399999999931,0.980961055234368,3.3481747999603
6.848,0.979429999999931,0.980964505862114,3.34646450480359
6.85,0.979459999999931,0.980968074040292,3.33852101675094
6.852,0.979489999999931,0.980972142719591,3.32563503402586
6.854,0.979519999999931,0.980977119523541,3.30909762414673
