kp,kd,ki,tracking_rms_cm,overshoot_cm,tail_rms_deg,hover_cm,note
9.0,3.6,0.04,3.63,6.8,4.70,0.07,r1_winner
9.0,4.0,0.04,3.39,6.3,4.90,0.08,
9.0,4.4,0.04,3.18,5.8,5.06,0.08,
10.0,3.6,0.04,3.45,6.5,4.81,0.06,
10.0,4.0,0.04,3.25,6.0,4.98,0.07,
10.0,4.4,0.04,3.06,5.6,5.13,0.07,
11.0,3.6,0.04,3.31,6.2,4.91,0.06,
11.0,4.0,0.04,3.12,5.8,5.07,0.06,
11.0,4.4,0.04,2.95,5.5,5.21,0.06,r2_winner
