pkg_mass_kg,sA,sZ,met1,met2,met3,met4,met5,met6,is_disturb
1,1,1,14,1.55368099567093,0.44,4.99176123308382,0,0,1
1,1,1,0.0505798894301835,1.28264981345525,1.91955952522758,6.43798043014468,2.00422951372239,18.380597376617,0
