pkg_mass_kg,pos_cap,kp_pos,kd_pos,sA,sZ,hover_cm,tracking_rms_cm,overshoot_cm,tail_rms_deg,z_peak_cm,att_peak_deg
1e-06,2,8.000016,3.2000076,0.75000025,0.56000044,1.99149191375679,21.7468756149019,230.201485111851,7.40462719994343,13.6096559975716,21.8209272473869
0.25,2,12,5.1,0.8125,0.67,1.26507058230257,99.8047997866242,176.030490286698,6.67934140870036,6.91382511639453,20.0200198757281
0.5,2,16,7,0.875,0.78,0.0361365961001758,2.25742844892115,3.6585753921698,6.38588574929483,1.96045284158594,18.5656588597287
1,2,24,10.8,1,1,0.0505693793736239,1.31834146803349,2.2801080609298,6.42246540119482,2.12396812598187,15.5256730708254
1.5,2,32,14.6,1.125,1.22,0.100774155380014,130.322412032365,1172.93137261142,7.17695722854237,85.2910847974562,35.2559065749901
2,2,40,18.4,1.25,1.44,0.182019804447997,198.256403494339,532.619466303567,0.799140586223708,85.5885087115646,19.6841396363396
1.5,1,24,10.8,1.125,1.22,0.0514964426456394,1.33545244948369,2.3343957234079,6.21258504984626,42.5235346692618,27.2071826166848
2,1,24,10.8,1.25,1.44,0.136512356960748,2.33698333331324,8.8119531145517,8.27616443365801,85.3949839004601,23.6932492748671
