pkg_mass_kg,norm_on,sIa,sIz,sM,hover_cm,tracking_rms_cm,overshoot_cm,tail_rms_deg,z_peak_cm,att_peak_deg
0.5,1,0.810223240921652,0.923087180282851,0.779987679310041,0.0617951700677097,4.24597602906199,8.09150118913857,4.13612392473716,1.97673089041629,13.4852923690033
0.3,1,0.71749534071505,0.892322052395991,0.691982751034058,0.0827161713194045,5.34084018320064,9.86153505286582,4.39830687114012,2.71351166266511,17.1883460675326
0.3,0,1,1,1,3.03935638748141,6.06519293886769,13.0994438200399,6.06112877034604,2.3865748152327,19.5761407058308
0.1,1,0.608856547339305,0.861556924509131,0.603977822758075,17.84108584333,145.497811968419,1335.40546295774,2.56686061612976,3.06336210589969,13.4555044214881
0.1,0,1,1,1,1.96114208105614,17.7021739912775,35.3688209791394,8.53732193430847,83.4594889010229,22.933381150661
0.03,1,0.565717729268596,0.850789129748731,0.57317609786148,3.45067206826437,34.2026693869915,45.6156719286572,5.80079868520822,3.89051506564829,17.7504566170658
0.03,0,1,1,1,2.48372967625253,28.06209817195,5628.35519982917,8.7912511598408,84.0356212831101,35.8641394434316
