pkg_mass_kg,kp_xy,kd_xy,kp_z,kd_z,sA,sZ,hover_cm,tracking_rms_cm,overshoot_cm,tail_rms_deg,z_move_cm,z_tail_cm,att_peak_deg
1e-06,8.000016,3.2000076,8,3.2,0.75000025,0.56000044,1.98058807446053,45.9805345503101,3437.66401547201,5.60206605682524,7.53009116429013,2.68830813146772,26.2580271413497
0.25,12,5.1,8,3.2,0.8125,0.67,2.38159697798671,206.93034280436,456.315840034419,5.7678540618683,4.10022846897787,2.23415891264347,26.7019216271433
0.5,16,7,8,3.2,0.875,0.78,0.0384991411080319,2.17156327467097,3.60875945018901,7.9578297050485,0.613164800299892,2.31757944190367,19.5760255484917
1,24,10.8,8,3.2,1,1,0.0505798894301835,1.24731099581025,1.91812756383247,6.33741102395493,1.2884392070019,0.784128127937089,18.3815587329668
1.5,24,10.8,8,3.2,1.125,1.22,0.0397347595843619,1.41968885527325,2.41382486395008,6.77394525899701,1.28314414447558,26.254975980101,16.7513175078433
2,24,10.8,8,3.2,1.25,1.44,0.0836170510077565,1.39581397863195,24.3086831963009,5.07001780718872,29.652504429351,85.3564847488573,30.9010018607765
