ramp_v_mps,is_agile,lag_mean_cm,lag_rms_cm,stop_over_cm,settle2cm_s,sse_mm,z_peak_cm,att_pk_deg,att_run_rms_deg,att_tail_rms_deg,reserved
1.5,0,1.2528681300643,3.12728083183464,5.25217788580523,1.53,-3.7545005715609,0.214726945049049,12.7890542220761,6.77820400820673,0.44585637585477,0
2,0,1.70869921896432,2.62402561566563,6.16010486816965,2.188,-14.0825189606595,0.214726945049049,12.7890542220761,4.59463167664126,0.609964143030109,0
1.5,1,0.381178930281638,0.988995257537594,1.8114741971063,0.924,-2.47909266152657,2.00437944553655,12.7125262619972,6.43642033650391,1.0684813572479,0
2,1,0.576197038957705,0.754551062301544,1.25659531951872,NaN,-13.5601530042928,2.00437944553655,12.7125262619972,4.28845167062808,1.46903751900452,0
