pkg_mass_kg,pkg_edge_m,norm_on,sIa,sIz,sM,hover_cm,tracking_rms_cm,overshoot_cm,tail_rms_deg,z_peak_cm,att_peak_deg
1,0.14,1,1,1,1,0.082895850114991,4.07745492772535,7.73092691855966,4.42485492234029,0.216897211013523,13.2194799854384
0.5,0.14,1,0.810223240921652,0.923087180282851,0.779987679310041,0.0617951700677097,4.24597602906199,8.09150118913857,4.13612392473716,1.97673089041629,13.4852923690033
0.5,0.14,0,1,1,1,0.0493476945316055,4.12044329546262,7.59857801138097,4.11360195446168,1.52682485752998,14.0145851646166
2,0.14,1,1.29296861624082,1.1538256394343,1.44002464137992,0.0781182397067746,4.01844937382629,7.71125904713761,4.74337916661559,1.83372347376987,13.5194520199534
2,0.14,0,1,1,1,0.123393132495443,4.04076678271183,7.92537380830696,4.89130467013617,2.79497951700742,13.5823922363587
1,0.2,1,1.40378965209882,1.16010423696223,1,0.0639431415691422,4.05651941251558,7.5341468646577,4.78235856224467,0.70362677440291,13.4575869774044
1,0.2,0,1,1,1,0.0832112873367267,4.18054633221841,7.90710028127106,4.98574867336286,0.216695791635291,13.6565260516766
