sA_att,sZ_alt,pkg_mass_kg,hover_cm,tracking_rms_cm,overshoot_cm,tail_rms_deg,z_peak_cm,att_peak_deg,reserved
0.55,0.4,1e-06,10.0915392703327,244.940120730887,407.884995359009,4.51538930954954,17.9764829912697,30.3356873829071,0
0.55,0.56,1e-06,9.21297289463184,54.2316003921311,483.261212577976,9.09777075689436,23.1117651296937,30.4871741630286,0
0.55,0.72,1e-06,4.10449358268104,176.762257365087,410.623537437861,7.35813938242584,100.566853125732,89.5942522183024,0
0.7,0.4,1e-06,7.28041209651469,1225.01497742095,9831.03984142537,6.51587638675192,100.712467363636,89.5958311082404,0
0.7,0.56,1e-06,13.1363608725541,391.172374487671,1752.93244685517,11.8252253318102,100.715649575047,89.7954396275437,0
0.7,0.72,1e-06,3.98936189706277,102.879135415135,114.581248887589,0.333230912274302,100.718065858613,88.9260546340498,0
0.85,0.4,1e-06,57.0769901076014,997.949177532558,5427.93094398666,17.3779692072503,100.714655067312,88.5787494075681,0
0.85,0.56,1e-06,15.9687451441542,1665.62582739605,5836.36856787384,11.2040735275718,100.718652880641,88.9843527492625,0
0.85,0.72,1e-06,20.0051030592734,1227.35955916099,0,14.4058400115121,100.713731820525,88.7840917247667,0
