pkg_mass_kg,norm_on,sIa,sIz,sM,hover_cm,tracking_rms_cm,overshoot_cm,tail_rms_deg,z_peak_cm,att_peak_deg
1,1,1,1,1,0.082895850114991,4.07745492772535,7.73092691855966,4.42485492234029,0.216897211013523,13.2194799854384
1e-06,1,0.546226976311809,0.846174514391341,0.559975798644724,3.14398653994409,48.5550806847494,207.244384458243,9.81781350430476,4.60611275933653,26.2310237443568
1e-06,0,1,1,1,2.19131349811832,31.4073653651761,4293.46952066409,8.65595055369915,85.0760212203257,44.5036031507713
