sA_att,sZ_alt,pkg_mass_kg,hover_cm,tracking_rms_cm,overshoot_cm,tail_rms_deg,z_peak_cm,att_peak_deg,reserved
0.65,0.4,1e-06,1.76116665592118,112.382395345559,1851.46848896872,8.53408524111764,5.82796537418031,34.2262961875332,0
0.65,0.48,1e-06,2.01519742046654,21.5342963288697,33.6047730411838,5.65852629102888,4.41785080294947,20.9780586144261,0
0.65,0.56,1e-06,4.7968633575865,82.9060441748106,139.730938718863,5.87582331429969,4.39108043009054,16.2460425854207,0
0.75,0.4,1e-06,1.03071490665004,58.5381999351083,280.991580124124,7.14144940934437,6.21361413281941,17.7905784876165,0
0.75,0.48,1e-06,1.56024595840281,40.3521729430673,292.361859901777,6.77044925149879,5.40296335510038,19.6329110626917,0
0.75,0.56,1e-06,1.99740926646272,21.3483325909331,37.12383454245,5.68959230576557,11.0006080848922,22.2479211013914,0
0.85,0.4,1e-06,0.947570698998982,73.8299537530599,115.441176070687,8.42159788701155,25.3215895574651,23.0203322556349,0
0.85,0.48,1e-06,1.60390251606517,37.9449962983658,58.1623426366748,7.64129392378379,49.4490575028234,22.835250700094,0
0.85,0.56,1e-06,0.750420210881924,23.3388638917286,580.342733925885,7.82423136454605,43.9374819285856,25.4312034295908,0
