kp,kd,ki,att_rms_deg,att_peak_deg,z_min_m,hover_cm
8,3.2,0.04,0.00209227823300804,0.00782991504762356,0.950092569836346,0.0527656839754218
12,4.8,0.04,0.0997134069010804,0.114177345380678,0.950086808647157,0.0360219513731894
16,6.4,0.04,0.158231732492976,0.169058008608813,0.950085664734196,0.0342845236081667
20,8,0.04,0.201068726704448,0.217648277910003,0.950082541590316,0.0385310440475804
24,8.4,0.04,0.213969052395483,0.233632109021858,0.950077041888167,0.0202894997367969
24,9.6,0.04,0.235554493688031,0.25666013434493,0.950058372169025,0.0178834023452036
24,10.8,0.04,0.25368333657886,0.273216185954435,0.950036774801256,0.0205556600072606
22,7.7,0.04,0.197109372831563,0.21358334617865,0.950083996012926,0.0404085837635217
