t,x_ref,x_meas,pitch_deg
3.442,0.0360380000000001,0.0267546900160164,5.70626740235958
3.444,0.036546,0.0270913479624714,5.76837549825102
3.446,0.0370540000000001,0.027431042141072,5.8303049092057
3.448,0.037562,0.0277739620698795,5.89201861467826
3.45,0.03807,0.0281224610468224,5.95315062103374
3.452,0.038606,0.0284740363978313,6.01389548586286
3.454,0.0391420000000001,0.0288287128789099,6.07424489117065
3.456,0.039678,0.0291899530872584,6.13372755153864
3.458,0.0402140000000001,0.0295523018210141,6.19308000921636
3.46,0.04075,0.0299212576530845,6.25165642516311
3.462,0.0413150000000001,0.0302920603886453,6.31006628440869
3.464,0.04188,0.0306680629623723,6.36800721395854
3.466,0.0424450000000001,0.0310490706114271,6.42567475566449
3.468,0.04301,0.0314334639789195,6.48322327159461
3.47,0.0435750000000001,0.0318223218000262,6.5406724080765
3.472,0.04417,0.0322167516382561,6.59815481246772
3.474,0.0447650000000001,0.032614719212033,6.65570892992468
3.476,0.04536,0.0330169895078809,6.71337695746064
3.478,0.0459550000000001,0.0334253818639512,6.77126941876576
3.48,0.04655,0.0338374245051492,6.82929108583039
3.482,0.0471750000000001,0.0342535359081748,6.88745542734748
3.484,0.0478,0.034677302493354,6.94575324664699
3.486,0.0484250000000001,0.0351015737700435,7.00405904810368
3.488,0.04905,0.0355351058400767,7.06224283374827
3.49,0.0496750000000001,0.0359691611130874,7.12040012372425
3.492,0.05033,0.0364108021288833,7.17817326197357
3.494,0.0509850000000001,0.0368567877843502,7.23555105184648
3.496,0.05164,0.0373066749866553,7.29253198457617
3.498,0.0522950000000001,0.037762165814812,7.34882671277861
3.5,0.0529500000000001,0.0382216630362325,7.4045476888228
3.502,0.0536350000000001,0.0386883520306622,7.45911652935914
3.504,0.05432,0.0391577666756042,7.51321326849317
3.506,0.0550050000000001,0.039632618519603,7.56636824738042
3.508,0.05569,0.0401129769829423,7.6185328956051
3.51,0.0563750000000001,0.0405960889181285,7.67020233984165
3.512,0.05709,0.041087526004947,7.72036907419953
3.514,0.0578050000000001,0.041581794678954,7.7700298960605
3.516,0.05852,0.0420816682287108,7.81868930899538
3.518,0.0592350000000001,0.0425872521316986,7.86633475776979
3.52,0.0599500000000001,0.0430956841268089,7.91347442405852
3.522,0.0606950000000001,0.0436126968294162,7.95907361387482
3.524,0.06144,0.0441326375415633,8.00412950372343
3.526,0.0621850000000001,0.0446583293163069,8.04811826859163
3.528,0.06293,0.0451898850925111,8.09096299188834
3.53,0.0636750000000001,0.0457243674122528,8.13323604498311
3.532,0.06445,0.0462693893823283,8.17331578889507
3.534,0.0652250000000001,0.0468144113524039,8.21339553280703
3.536,0.066,0.0473676370158953,8.2516902776999
3.538,0.0667750000000002,0.0479251414571602,8.28905402557213
3.54,0.0675500000000001,0.0484865451483075,8.32556171191523
3.542,0.0683550000000002,0.0490566582610046,8.36015728671019
3.544,0.0691600000000001,0.0496267713737016,8.39475286150514
3.546,0.0699650000000001,0.0502091603463325,8.42678559664972
3.548,0.07077,0.0507920437089525,8.45871511765907
3.55,0.0715750000000001,0.0513838998186117,8.48899093133809
3.552,0.07241,0.0519814129744084,8.51822413246765
3.554,0.0732450000000001,0.0525789261302052,8.54745733359723
3.556,0.0740800000000001,0.0531875482476681,8.57495683199544
3.558,0.0749150000000002,0.0538016137424071,8.60160681823088
3.56,0.0757500000000001,0.054415679237146,8.62825680446631
