t,x_ref,x_meas
16.088,0.989178999999562,0.984239717729196
16.09,0.989284999999562,0.984359460957472
16.092,0.989384999999561,0.984478947721237
16.094,0.989484999999561,0.984598227209054
16.096,0.989584999999561,0.984717232169437
16.098,0.989684999999561,0.98483607228849
16.1,0.989784999999561,0.984954563890611
16.102,0.98987899999956,0.985072684026173
16.104,0.98997299999956,0.985190602491445
16.106,0.99006699999956,0.985308054570816
16.108,0.99016099999956,0.98542507704901
16.11,0.99025499999956,0.985541611905227
16.112,0.990342999999559,0.985657928531757
16.114,0.990430999999559,0.985773459817727
16.116,0.990518999999559,0.985888729931869
16.118,0.990606999999559,0.986003353951664
16.12,0.990694999999559,0.986117461887735
16.122,0.990776999999558,0.986231170146066
16.124,0.990858999999558,0.986344079691415
16.126,0.990940999999558,0.986456716096188
16.128,0.991022999999558,0.986568603706712
16.13,0.991104999999558,0.986680105370771
16.132,0.991180999999558,0.986791163032798
16.134,0.991256999999557,0.986901661207772
16.136,0.991332999999557,0.987011947654087
16.138,0.991408999999557,0.987121663101063
16.14,0.991484999999557,0.987231199436071
16.142,0.991554999999556,0.987340426163397
16.144,0.991624999999556,0.987449374141812
16.146,0.991694999999556,0.987558182943127
16.148,0.991764999999556,0.987666778764189
16.15,0.991834999999556,0.987775212331643
16.152,0.991898999999555,0.98788350160579
16.154,0.991962999999555,0.98799162698938
16.156,0.992026999999555,0.988099486417247
16.158,0.992090999999555,0.988207199234764
16.16,0.992154999999554,0.988314646365432
16.162,0.992212999999554,0.988421755027572
16.164,0.992270999999554,0.988528651894578
16.166,0.992328999999554,0.988635024299929
16.168,0.992386999999554,0.988741014857136
16.17,0.992444999999554,0.988846671194266
16.172,0.992496999999553,0.98895154585255
16.174,0.992548999999553,0.989055996479558
16.176,0.992600999999553,0.989159770061942
16.178,0.992652999999553,0.989263193429068
16.18,0.992704999999553,0.989365867375348
16.182,0.992750999999553,0.989467758907859
16.184,0.992796999999552,0.989569176614068
16.186,0.992842999999552,0.98966991430974
16.188,0.992888999999552,0.989769906347965
16.19,0.992934999999552,0.989869443684377
16.192,0.992974999999551,0.989968319132077
16.194,0.993014999999551,0.990066523044262
16.196,0.993054999999551,0.99016430636543
16.198,0.993094999999551,0.990261461759919
16.2,0.993134999999551,0.990357935532646
16.202,0.993168999999551,0.99045417560897
16.204,0.99320299999955,0.990549525396085
16.206,0.99323699999955,0.990644734969315
16.208,0.99327099999955,0.990738930574016
16.21,0.99330499999955,0.990832950612805
16.212,0.993332999999549,0.990926049842578
16.214,0.993360999999549,0.99101884675946
16.216,0.993388999999549,0.99111093361085
16.218,0.993416999999549,0.99120216143707
16.22,0.993444999999549,0.991292770662077
16.222,0.993466999999549,0.991382744215776
16.224,0.993488999999548,0.99147188493428
16.226,0.993510999999548,0.991560094449419
16.228,0.993532999999548,0.991647440241879
16.23,0.993554999999548,0.99173402349258
16.232,0.993570999999548,0.991819769869511
16.234,0.993586999999547,0.991904739041284
16.236,0.993602999999547,0.991988252371724
16.238,0.993618999999547,0.992070996654884
16.24,0.993634999999547,0.992152976053933
16.242,0.993644999999547,0.992233392942733
16.244,0.993654999999546,0.992313024551363
16.246,0.993664999999546,0.992391816321295
16.248,0.993674999999546,0.992469038352154
16.25,0.993684999999546,0.992545392044831
16.252,0.993689999999545,0.992620769632405
16.254,0.993694999999545,0.992694905334041
16.256,0.993699999999545,0.99276834289278
16.258,0.993704999999545,0.99284000751241
16.26,0.993709999999545,0.992911297844882
16.262,0.993710999999545,0.992981412944694
16.264,0.993711999999544,0.993050581434695
16.266,0.993712999999544,0.99311846630984
16.268,0.993713999999544,0.99318578661264
16.27,0.993714999999544,0.993251616576701
16.272,0.993712999999544,0.99331715242564
16.274,0.993710999999543,0.993381010277344
16.276,0.993708999999543,0.993444633175635
16.278,0.993706999999543,0.993506789207375
16.28,0.993704999999543,0.993568530567149
16.282,0.993700999999543,0.993629073952041
16.284,0.993696999999542,0.99368898887171
16.286,0.993692999999542,0.99374795236567
16.288,0.993688999999542,0.993806075433528
16.29,0.993684999999542,0.993863478082489
16.292,0.993679999999542,0.993919827950178
16.294,0.993674999999541,0.993975680329962
16.296,0.993669999999541,0.994030269684074
16.298,0.993664999999541,0.994084581316196
16.3,0.993659999999541,0.994137428107224
16.302,0.993654999999541,0.994190063005041
16.304,0.993649999999541,0.994241350243248
16.306,0.99364499999954,0.994292284194201
16.308,0.99363999999954,0.994342109797184
16.31,0.99363499999954,0.99439146575654
16.312,0.99362999999954,0.994440032110592
16.314,0.993624999999539,0.994487625712411
16.316,0.993619999999539,0.994534553497791
16.318,0.993614999999539,0.994580800125846
16.32,0.993609999999539,0.994626294546638
16.322,0.993604999999539,0.994670996413339
16.324,0.993599999999539,0.994714983287853
16.326,0.993594999999538,0.994758920846817
16.328,0.993589999999538,0.994801346124063
16.33,0.993584999999538,0.994843647650999
16.332,0.993579999999538,0.994884677662589
16.334,0.993574999999538,0.994925522865153
16.336,0.993569999999537,0.994965285375724
16.338,0.993564999999537,0.995004315637634
16.34,0.993559999999537,0.995042775839888
16.342,0.993555999999537,0.995080247269605
16.344,0.993551999999537,0.995116964419753
16.346,0.993547999999536,0.995153097088235
16.348,0.993543999999536,0.995188229081469
16.35,0.993539999999536,0.995222616409013
16.352,0.993537999999536,0.995256439787225
16.354,0.993535999999536,0.995289291216414
16.356,0.993533999999536,0.995321470435438
16.358,0.993531999999535,0.995353147245434
16.36,0.993529999999535,0.99538402443042
16.362,0.993528999999535,0.995414267508488
16.364,0.993527999999535,0.99544388737596
16.366,0.993526999999535,0.995472955900612
16.368,0.993525999999534,0.995501444575039
16.37,0.993524999999534,0.995529487973261
16.372,0.993523999999534,0.995557170628516
16.374,0.993522999999534,0.99558422757687
16.376,0.993521999999534,0.995611049812473
16.378,0.993520999999533,0.995637350232201
16.38,0.993519999999533,0.995663135293775
16.382,0.993518999999533,0.995688489313769
16.384,0.993517999999533,0.995713394933183
16.386,0.993516999999533,0.995737832398871
16.388,0.993515999999532,0.995761713507435
16.39,0.993514999999532,0.995784945507007
16.392,0.993513999999532,0.995807611373867
16.394,0.993512999999532,0.995829687766251
16.396,0.993511999999532,0.995851138081666
16.398,0.993510999999531,0.995871771286826
16.4,0.993509999999531,0.995891752593761
16.402,0.993508999999531,0.995911237661433
16.404,0.993507999999531,0.995929673882536
16.406,0.993506999999531,0.995947551962164
16.408,0.99350599999953,0.995964888742537
16.41,0.99350499999953,0.995981331040025
16.412,0.99350399999953,0.995997117057226
16.414,0.99350299999953,0.996012283049001
16.416,0.99350199999953,0.996026865257438
16.418,0.99350099999953,0.996040904613171
16.42,0.993499999999529,0.996054423887169
16.422,0.993498999999529,0.996067505697387
16.424,0.993497999999529,0.996080097825849
16.426,0.993496999999529,0.996092537034358
16.428,0.993495999999529,0.996104457908506
16.43,0.993494999999528,0.996116297431922
16.432,0.993493999999528,0.996127760538607
16.434,0.993492999999528,0.99613913140568
16.436,0.993491999999528,0.996150263732505
16.438,0.993490999999528,0.996161264744802
16.44,0.993489999999527,0.996172105992488
16.442,0.993488999999527,0.996182787384706
16.444,0.993487999999527,0.996193305161219
16.446,0.993486999999527,0.996203644587078
16.448,0.993485999999527,0.996213721697194
16.45,0.993484999999527,0.99622358777175
16.452,0.993483999999527,0.996233228582415
16.454,0.993482999999526,0.996242575402963
16.456,0.993481999999526,0.996251553026782
16.458,0.993480999999526,0.996260200378451
16.46,0.993479999999526,0.996268595011818
16.462,0.993478999999525,0.996276492093723
16.464,0.993477999999525,0.996284218298531
16.466,0.993476999999525,0.996291349664109
16.468,0.993475999999525,0.996298302732876
16.47,0.993474999999525,0.996304854243152
16.472,0.993473999999525,0.996311047744451
16.474,0.993472999999524,0.996316899116993
16.476,0.993471999999524,0.9963224844301
16.478,0.993470999999524,0.996327830110962
16.48,0.993469999999524,0.996332958003049
16.482,0.993468999999524,0.996337899024325
16.484,0.993467999999523,0.996342662743915
16.486,0.993466999999523,0.996347325055001
16.488,0.993465999999523,0.996351869848295
16.49,0.993464999999523,0.996356351122419
16.492,0.993463999999523,0.996360761155519
16.494,0.993462999999522,0.996365112643357
16.496,0.993461999999522,0.996369427153411
16.498,0.993460999999522,0.996373677361843
16.5,0.993459999999522,0.996377906640211
16.502,0.993458999999522,0.996382049578777
16.504,0.993457999999521,0.996386129134259
16.506,0.993456999999521,0.996390137114848
16.508,0.993455999999521,0.996394049976821
16.51,0.993454999999521,0.996397812357253
16.512,0.993453999999521,0.99640144773828
16.514,0.993452999999521,0.99640493964037
16.516,0.99345199999952,0.996408201138064
16.518,0.99345099999952,0.996411283126275
16.52,0.99344999999952,0.996414186990321
16.522,0.99344899999952,0.996416756603292
16.524,0.99344799999952,0.996419189699714
16.526,0.993446999999519,0.996421259847755
16.528,0.993445999999519,0.996423140895967
16.53,0.993444999999519,0.996424756905588
16.532,0.993443999999519,0.996426105313224
16.534,0.993442999999519,0.996427168523124
16.536,0.993441999999519,0.996428023037506
16.538,0.993440999999518,0.996428680764656
16.54,0.993439999999518,0.996429153457745
16.542,0.993438999999518,0.996429382082329
16.544,0.993437999999518,0.996429507455838
16.546,0.993436999999518,0.996429500336202
16.548,0.993435999999517,0.996429305350248
16.55,0.993434999999517,0.996429075696526
16.552,0.993433999999517,0.996428700372554
16.554,0.993432999999517,0.996428257681491
16.556,0.993431999999517,0.996427730153212
16.558,0.993430999999517,0.996427123356931
16.56,0.993429999999516,0.996426382764081
16.562,0.993428999999516,0.996425565011979
16.564,0.993427999999516,0.996424671958912
16.566,0.993426999999516,0.99642360001883
16.568,0.993425999999516,0.996422423288059
16.57,0.993424999999516,0.996421137459095
16.572,0.993423999999515,0.996419605946474
16.574,0.993422999999515,0.996417934494032
16.576,0.993421999999515,0.996416111800375
16.578,0.993420999999515,0.996413920625368
16.58,0.993419999999515,0.996411715282509
16.582,0.993418999999515,0.99640910882239
16.584,0.993417999999514,0.996406432542522
16.586,0.993416999999514,0.996403452193938
16.588,0.993415999999514,0.996400296361088
16.59,0.993414999999514,0.996396876627019
16.592,0.993413999999514,0.9963932466268
16.594,0.993412999999513,0.996389474513434
16.596,0.993411999999513,0.996385455615078
16.598,0.993410999999513,0.996381278383769
16.6,0.993409999999513,0.996376981286368
16.602,0.993408999999513,0.996372465962186
16.604,0.993407999999513,0.996367836288486
16.606,0.993406999999512,0.996363107752828
16.608,0.993405999999512,0.996358157926325
16.61,0.993404999999512,0.996353208099822
16.612,0.993402999999512,0.996348075330944
16.614,0.993400999999511,0.996342884740037
16.616,0.993398999999511,0.996337553041489
16.618,0.993396999999511,0.996332149474637
16.62,0.993394999999511,0.99632662972643
16.622,0.993392999999511,0.996321000124899
16.624,0.993390999999511,0.996315244252448
16.626,0.99338899999951,0.996309329998429
16.628,0.99338699999951,0.996303263909844
16.63,0.99338499999951,0.996297033950064
16.632,0.99338399999951,0.996290610439871
16.634,0.99338299999951,0.996284036943465
16.636,0.99338199999951,0.996277222405298
16.638,0.99338099999951,0.996270308021683
16.64,0.993379999999509,0.996263168141507
16.642,0.993379999999509,0.99625584861442
16.644,0.993379999999509,0.996248394246257
16.646,0.993379999999509,0.996240831586498
16.648,0.993379999999509,0.996233190784124
16.65,0.993379999999509,0.996225504622328
16.652,0.993380999999508,0.996217809866487
16.654,0.993381999999508,0.996210134480116
16.656,0.993382999999508,0.996202542939147
16.658,0.993383999999508,0.996195039267589
16.66,0.993384999999508,0.996187635208407
16.662,0.993386999999508,0.996180417779134
16.664,0.993388999999507,0.996173370666615
16.666,0.993390999999507,0.996166474286709
16.668,0.993392999999507,0.996159756602477
16.67,0.993394999999507,0.996153269641918
16.672,0.993397999999507,0.996146924152665
16.674,0.993400999999507,0.996140713757222
16.676,0.993403999999506,0.996134674606985
16.678,0.993406999999506,0.996128739657606
16.68,0.993409999999506,0.996122874858203
16.682,0.993413999999506,0.996117071932121
16.684,0.993417999999506,0.996111303369758
16.686,0.993421999999506,0.996105531381698
16.688,0.993425999999505,0.9960997470328
16.69,0.993429999999505,0.996093917463352
16.692,0.993434999999505,0.996088029080281
16.694,0.993439999999505,0.996082087367377
16.696,0.993444999999505,0.996076082566644
16.698,0.993449999999505,0.996069988129842
16.7,0.993454999999504,0.996063843339134
16.702,0.993460999999504,0.996057652760262
16.704,0.993466999999504,0.996051414082376
16.706,0.993472999999504,0.996045160640909
