sA_att,sZ_alt,pkg_mass_kg,hover_cm,tracking_rms_cm,overshoot_cm,tail_rms_deg,z_peak_cm,att_peak_deg,reserved
0.55,0.56,1e-06,3.74672373124718,76.5291379133019,138.090280629869,5.88681788558604,3.2838538357597,13.8215929352373,0
0.55,0.75,1e-06,7.68461330773178,118.515727703922,232.344770432464,5.17525406431093,4.95670319338131,30.2092352526953,0
0.55,1,1e-06,3.5360204556683,61.627847234565,109.399617009192,5.67067868135666,3.2657263075538,19.9876771474641,0
0.75,0.56,1e-06,1.99740926646272,21.3483325909331,37.12383454245,5.68959230576557,11.0006080848922,22.2479211013914,0
0.75,0.75,1e-06,3.371470641902,46.0857883667223,1598.01110555708,5.92823707343962,4.05336832180257,20.5741328460419,0
0.75,1,1e-06,8.48690235911373,167.017648196228,1686.67328687892,4.93241497288769,3.9374342811765,21.9570993751561,0
1,0.56,1e-06,1.03616002838206,25.4370469098003,759.038495984452,7.40170712106823,48.3625308338834,26.750380731378,0
1,0.75,1e-06,2.58157252696508,32.3359330701529,54.0108896084618,7.43633193891564,18.0660794015106,21.7212576506191,0
1,1,1e-06,2.19131349811832,31.4073653651761,4293.46952066409,8.65595055369915,85.0760212203257,44.5036031507713,0
