kp,kd,ki,tracking_rms_cm,overshoot_cm,tail_rms_deg,hover_cm,peak_pitch_deg
30,12,0.04,1.16878908010543,1.99776198037704,6.45536091024208,0.0277217709858646,15.8921024410098
36,14.4,0.04,6.31795888736517,8.21821343168732,1.19437205473903,0.0714680010974756,24.5927575086496
43,17.2,0.04,4.36897096086961,5.24639416865795,1.06181132253073,0.0911058116097399,20.4331932776402
52,20.8,0.04,42.1625519886122,451.901671053799,19.0667747293049,0.139160398761379,49.4722044610382
