t,ref_x,ref_y,ref_z,ref_yaw,meas_x,meas_y,meas_z,roll,pitch,yaw,w1,w2,w3,w4
0.015,0,0,1,0,8.55152860376544e-10,-3.46696287371844e-11,0.998893948220257,2.0108344114687e-09,4.95987681229139e-08,-8.17027915450978e-15,0,0,0,0
0.016,0,0,1,0,1.23212623232037e-09,-4.99245546710924e-11,0.998742583384429,2.89559599117768e-09,7.14626306149762e-08,-5.80775327477e-15,0,0,0,0
0.017,0,0,1,0,1.76433431606398e-09,-7.14434135078584e-11,0.998578527785334,4.14363786674221e-09,1.0232941588361e-07,1.31031949011123e-15,0,0,0,0
0.018,0,0,1,0,2.32347241914629e-09,-9.40457663312108e-11,0.998413041597134,5.45451221215844e-09,1.34757889920037e-07,9.92273220081878e-15,0,0,0,0
0.019,0,0,1,0,3.27129888214286e-09,-1.32286485222053e-10,0.998226907323778,7.67226483897702e-09,1.89726646539085e-07,4.01033634631858e-14,0,0,0,0
0.02,0,0,1,0,4.21912534513943e-09,-1.70527204112896e-10,0.998040773050423,9.89001746579562e-09,2.44695403158134e-07,7.02839947255529e-14,0,0,0,0
0.021,0,0,1,0,5.75321987484307e-09,-2.3224449175282e-10,0.997835429343465,1.34689130226355e-08,3.33655333189685e-07,1.5667047578156e-13,0,0,0,0
0.022,0,0,1,0,7.46381751017827e-09,-3.01029684893822e-10,0.997624302403749,1.74575971523147e-08,4.32848717867786e-07,2.59978408996747e-13,0,0,0,0
0.023,0,0,1,0,9.17441514551348e-09,-3.69814878034825e-10,0.997413175464033,2.1446281281994e-08,5.32042102545888e-07,3.63286342211934e-13,0,0,0,0
0.024,0,0,1,0,1.19215004064442e-08,-4.79873939769517e-10,0.997179754963708,2.78271418654888e-08,6.91309260765118e-07,6.15852390164019e-13,0,0,0,0
0.025,0,0,1,0,1.49210138428246e-08,-5.99984918271542e-10,0.996940905047063,3.47905976702661e-08,8.65206900499894e-07,9.04769044378723e-13,0,0,0,0
0.026,0,0,1,0,1.7920527279205e-08,-7.20095896773566e-10,0.996702055130419,4.17540534750434e-08,1.03910454023467e-06,1.19368569859343e-12,0,0,0,0
0.027,0,0,1,0,2.27574672068847e-08,-9.12787393446968e-10,0.99643822761801,5.29210259573818e-08,1.31941919734632e-06,1.87530996320292e-12,0,0,0,0
0.028,0,0,1,0,2.79451577568345e-08,-1.11933395427334e-09,0.996169632074173,6.4890417528244e-08,1.62004804674912e-06,2.6318990981724e-12,0,0,0,0
0.029,0,0,1,0,3.31328483067844e-08,-1.3258805150997e-09,0.995901036530336,7.68598090991063e-08,1.92067689615191e-06,3.38848823314188e-12,0,0,0,0
0.03,0,0,1,0,3.92708939507198e-08,-1.56963951355602e-09,0.99562384365977,9.09817075305218e-08,2.2762804873747e-06,4.42175922884978e-12,0,0,0,0
0.031,0,0,1,0,4.79281365479856e-08,-1.91204107214235e-09,0.995323861034683,1.10809461341096e-07,2.77761087374966e-06,6.18845724044374e-12,0,0,0,0
0.032,0,0,1,0,5.65853791452513e-08,-2.25444263072868e-09,0.995023878409595,1.3063721515167e-07,3.27894126012461e-06,7.95515525203769e-12,0,0,0,0
0.033,0,0,1,0,6.5242621742517e-08,-2.59684418931502e-09,0.994723895784507,1.50464968962244e-07,3.78027164649956e-06,9.72185326363165e-12,0,0,0,0
0.034,0,0,1,0,7.79541847480736e-08,-3.09634289534488e-09,0.994400460228049,1.79356631399846e-07,4.51554825072592e-06,1.30548638600059e-11,0,0,0,0
0.035,0,0,1,0,9.23369034965548e-08,-3.66059568435508e-09,0.994067357576493,2.11984358437676e-07,5.34725545888245e-06,1.70334949322356e-11,0,0,0,0
0.036,0,0,1,0,1.06719622245036e-07,-4.22484847336528e-09,0.993734254924937,2.44612085475507e-07,6.17896266703899e-06,2.10121260044653e-11,0,0,0,0
0.037,0,0,1,0,1.21102340993517e-07,-4.78910126237548e-09,0.993401152273381,2.77239812513337e-07,7.01066987519551e-06,2.49907570766949e-11,0,0,0,0
0.038,0,0,1,0,1.38356594023316e-07,-5.46376965705407e-09,0.993057003855874,3.16212452311489e-07,8.00742351054965e-06,3.03067170874229e-11,0,0,0,0
0.039,0,0,1,0,1.61582781984095e-07,-6.36806958241178e-09,0.992689883539355,3.68380618415532e-07,9.34742449288051e-06,3.84039224602522e-11,0,0,0,0
0.04,0,0,1,0,1.84808969944874e-07,-7.27236950776948e-09,0.992322763222836,4.20548784519574e-07,1.06874254752114e-05,4.65011278330816e-11,0,0,0,0
0.041,0,0,1,0,2.08035157905654e-07,-8.17666943312719e-09,0.991955642906316,4.72716950623616e-07,1.20274264575422e-05,5.45983332059109e-11,0,0,0,0
0.042,0,0,1,0,2.31261345866433e-07,-9.08096935848489e-09,0.991588522589797,5.24885116727659e-07,1.33674274398731e-05,6.26955385787402e-11,0,0,0,0
0.043,0,0,1,0,2.63704827141899e-07,-1.03386838516936e-08,0.991196440100567,5.9726462855576e-07,1.52347230074728e-05,7.55228104670828e-11,0,0,0,0
0.044,0,0,1,0,2.96723164500432e-07,-1.16184397953844e-08,0.990802800792396,6.70904663906307e-07,1.71349044223122e-05,8.86450830044145e-11,0,0,0,0
