pkg_mass_kg,sA,sZ,met1,met2,met3,met4,met5,met6,is_disturb
1,1,1,14,1.64542385174237,0.435,4.99632251987442,0,0,1
1,1,1,0.0505693793736239,1.31867291742245,2.27823413024639,6.04349552754774,2.12396812598187,15.5313332133443,0
2,1.25,1.44,0.136512356960748,2.33860984007702,4.74353309168911,10.1846456724961,85.3951022746261,24.8080912639345,0
0.5,0.875,0.78,0.859340063104203,193.472784834572,122.667126603358,17.3919710215798,83.4410278551367,48.4086240736991,0
