tag,att_ms,pos_ms,hover_att_rms_deg,hover_att_peak_deg,sag_cm,drift_cm,pulse_peak_deg,pulse_recover_s,pulse_xy_m,track_rms_cm,overshoot_cm,att_peak_deg,tail_att_rms_deg,pass
1kg,0.0,0.0,0.017658301540620133,0.030594009882156395,4.981139786847399,0.20704595053997643,2.3467281960699458,0.7350000000000003,0.042575688038872114,3.281725689387903,4.852645048682991,11.8233324358202,0.457149502144845,OK
1kg,10.0,0.0,0.0019434521043780126,0.008830313252070558,4.980646401844302,0.21016738115372857,2.5451226786717185,0.8799999999999999,0.0426755973086127,3.246901113558367,4.802377214092002,12.0418413623104,0.5179544791515805,OK
1kg,20.0,0.0,1.908240776844722,2.9575409054239974,4.980437841888897,0.23990816516395252,4.261941733202126,nan,0.042959526259515206,3.525081190309285,5.233660602375001,13.5320668485056,2.125379342855262,"FAIL:hover_att_rms_deg,hover_att_peak_deg,pulse_recover_s"
1kg,40.0,0.0,7.983027333022046,12.852331236308551,4.980674300924104,4.168832540245107,14.801058037648113,nan,0.12870931254626589,6.491134697490974,9.674367303932009,22.5586623534379,7.371086157571022,"FAIL:hover_att_rms_deg,hover_att_peak_deg,pulse_peak_deg,pulse_recover_s"
1kg,80.0,0.0,14.872372930304932,42.6738234727932,4.9809939053119034,1728.206918552619,44.390836166966594,nan,45.05597449367147,86.1931920982656,112.36237354738101,50.2768869010688,15.545857880238032,"FAIL:hover_att_rms_deg,hover_att_peak_deg,pulse_peak_deg,pulse_recover_s,track_rms_cm,overshoot_cm,drift_cm"
1kg,0.0,50.0,1.4151191760972548,3.874788124449832,13.444046029698498,5.004337898962925,5.68287114812781,nan,0.0832058069809854,4.5960395422154345,5.393351490482989,13.7964425127196,1.4886174672349108,"FAIL:hover_att_rms_deg,hover_att_peak_deg,pulse_peak_deg,pulse_recover_s,drift_cm"
